Time;ID;Type;Value
00:10.109;ID:2;RSSI;-95
00:10.110;ID:2;RSSI short;-96
00:10.111;ID:2;RSSI long;-97
00:10.202;ID:2;RSSI;-95
00:10.203;ID:2;RSSI short;-96
00:10.205;ID:2;RSSI long;-97
00:10.296;ID:2;RSSI;-100
00:10.297;ID:2;RSSI short;-96
00:10.298;ID:2;RSSI long;-97
00:10.390;ID:2;RSSI;-95
00:10.391;ID:2;RSSI short;-96
00:10.392;ID:2;RSSI long;-97
00:10.484;ID:2;RSSI;-95
00:10.485;ID:2;RSSI short;-96
00:10.486;ID:2;RSSI long;-98
00:10.546;ID:2;Send;4
00:10.546;ID:2;Recieved;6
00:10.578;ID:2;RSSI;-95
00:10.579;ID:2;RSSI short;-96
00:10.580;ID:2;RSSI long;-97
00:10.671;ID:2;RSSI;-100
00:10.673;ID:2;RSSI short;-96
00:10.674;ID:2;RSSI long;-97
00:10.765;ID:2;RSSI;-95
00:10.766;ID:2;RSSI short;-96
00:10.767;ID:2;RSSI long;-97
00:10.859;ID:2;RSSI;-95
00:10.860;ID:2;RSSI short;-96
00:10.861;ID:2;RSSI long;-96
00:10.952;ID:2;RSSI;-95
00:10.953;ID:2;RSSI short;-96
00:10.955;ID:2;RSSI long;-96
00:11.046;ID:2;RSSI;-100
00:11.047;ID:2;RSSI short;-96
00:11.048;ID:2;RSSI long;-96
00:11.140;ID:2;RSSI;-95
00:11.141;ID:2;RSSI short;-96
00:11.142;ID:2;RSSI long;-96
00:11.234;ID:2;RSSI;-95
00:11.235;ID:2;RSSI short;-96
00:11.236;ID:2;RSSI long;-96
00:11.327;ID:2;RSSI;-95
00:11.328;ID:2;RSSI short;-96
00:11.330;ID:2;RSSI long;-96
00:11.421;ID:2;RSSI;-100
00:11.422;ID:2;RSSI short;-96
00:11.423;ID:2;RSSI long;-96
00:11.515;ID:2;RSSI;-95
00:11.516;ID:2;RSSI short;-96
00:11.517;ID:2;RSSI long;-96
00:11.609;ID:2;RSSI;-95
00:11.610;ID:2;RSSI short;-96
00:11.611;ID:2;RSSI long;-96
00:11.702;ID:2;RSSI;-96
00:11.703;ID:2;RSSI short;-96
00:11.705;ID:2;RSSI long;-96
00:11.796;ID:2;RSSI;-95
00:11.797;ID:2;RSSI short;-96
00:11.798;ID:2;RSSI long;-96
00:11.890;ID:2;RSSI;-95
00:11.891;ID:2;RSSI short;-96
00:11.892;ID:2;RSSI long;-96
00:11.984;ID:2;RSSI;-95
00:11.985;ID:2;RSSI short;-96
00:11.986;ID:2;RSSI long;-96
00:12.077;ID:2;RSSI;-100
00:12.079;ID:2;RSSI short;-96
00:12.080;ID:2;RSSI long;-96
00:12.171;ID:2;RSSI;-95
00:12.172;ID:2;RSSI short;-96
00:12.173;ID:2;RSSI long;-96
00:12.265;ID:2;RSSI;-95
00:12.266;ID:2;RSSI short;-96
00:12.267;ID:2;RSSI long;-96
00:12.359;ID:2;RSSI;-95
00:12.360;ID:2;RSSI short;-96
00:12.361;ID:2;RSSI long;-96
00:12.452;ID:2;RSSI;-100
00:12.454;ID:2;RSSI short;-96
00:12.455;ID:2;RSSI long;-97
00:12.546;ID:2;RSSI;-95
00:12.547;ID:2;RSSI short;-96
00:12.548;ID:2;RSSI long;-96
00:12.550;ID:2;Send;5
00:12.551;ID:2;Recieved;6
00:12.557;ID:2;Jamming detected by message shortage: changed to channel 17 ;
00:12.647;ID:2;RSSI;-100
00:12.649;ID:2;RSSI short;-96
00:12.650;ID:2;RSSI long;-96
00:12.734;ID:2;RSSI;-100
00:12.735;ID:2;RSSI short;-96
00:12.736;ID:2;RSSI long;-96
00:12.827;ID:2;RSSI;-100
00:12.829;ID:2;RSSI short;-96
00:12.830;ID:2;RSSI long;-96
00:12.921;ID:2;RSSI;-100
00:12.922;ID:2;RSSI short;-97
00:12.923;ID:2;RSSI long;-96
00:13.015;ID:2;RSSI;-100
00:13.016;ID:2;RSSI short;-97
00:13.017;ID:2;RSSI long;-96
00:13.109;ID:2;RSSI;-100
00:13.110;ID:2;RSSI short;-97
00:13.111;ID:2;RSSI long;-96
00:13.202;ID:2;RSSI;-100
00:13.204;ID:2;RSSI short;-97
00:13.205;ID:2;RSSI long;-96
00:13.296;ID:2;RSSI;-100
00:13.297;ID:2;RSSI short;-97
00:13.298;ID:2;RSSI long;-96
00:13.390;ID:2;RSSI;-100
00:13.391;ID:2;RSSI short;-97
00:13.392;ID:2;RSSI long;-96
00:13.484;ID:2;RSSI;-100
00:13.485;ID:2;RSSI short;-98
00:13.486;ID:2;RSSI long;-96
00:13.577;ID:2;RSSI;-100
00:13.579;ID:2;RSSI short;-98
00:13.580;ID:2;RSSI long;-96
00:13.671;ID:2;RSSI;-100
00:13.672;ID:2;RSSI short;-98
00:13.673;ID:2;RSSI long;-96
00:13.765;ID:2;RSSI;-100
00:13.766;ID:2;RSSI short;-98
00:13.767;ID:2;RSSI long;-97
00:13.859;ID:2;RSSI;-100
00:13.860;ID:2;RSSI short;-99
00:13.861;ID:2;RSSI long;-97
00:13.952;ID:2;RSSI;-100
00:13.954;ID:2;RSSI short;-99
00:13.955;ID:2;RSSI long;-97
00:14.046;ID:2;RSSI;-100
00:14.047;ID:2;RSSI short;-99
00:14.048;ID:2;RSSI long;-97
00:14.140;ID:2;RSSI;-100
00:14.141;ID:2;RSSI short;-99
00:14.142;ID:2;RSSI long;-97
00:14.234;ID:2;RSSI;-100
00:14.235;ID:2;RSSI short;-99
00:14.236;ID:2;RSSI long;-97
00:14.327;ID:2;RSSI;-100
00:14.329;ID:2;RSSI short;-99
00:14.330;ID:2;RSSI long;-97
00:14.421;ID:2;RSSI;-100
00:14.422;ID:2;RSSI short;-99
00:14.423;ID:2;RSSI long;-99
00:14.515;ID:2;RSSI;-100
00:14.516;ID:2;RSSI short;-100
00:14.517;ID:2;RSSI long;-97
00:14.545;ID:2;Send;6
00:14.546;ID:2;Recieved;6
00:14.609;ID:2;RSSI;-100
00:14.610;ID:2;RSSI short;-100
00:14.611;ID:2;RSSI long;-97
00:14.703;ID:2;RSSI;-100
00:14.704;ID:2;RSSI short;-100
00:14.705;ID:2;RSSI long;-97
00:14.796;ID:2;RSSI;-100
00:14.798;ID:2;RSSI short;-100
00:14.799;ID:2;RSSI long;-97
00:14.890;ID:2;RSSI;-100
00:14.891;ID:2;RSSI short;-100
00:14.892;ID:2;RSSI long;-97
00:14.984;ID:2;RSSI;-100
00:14.985;ID:2;RSSI short;-100
00:14.986;ID:2;RSSI long;-97
00:15.077;ID:2;RSSI;-100
00:15.079;ID:2;RSSI short;-100
00:15.080;ID:2;RSSI long;-97
00:15.171;ID:2;RSSI;-100
00:15.173;ID:2;RSSI short;-100
00:15.174;ID:2;RSSI long;-97
00:15.265;ID:2;RSSI;-100
00:15.266;ID:2;RSSI short;-100
00:15.267;ID:2;RSSI long;-98
00:15.359;ID:2;RSSI;-100
