Time;ID;Type;Value
00:16.351;ID:1;RSSI long;-100
00:16.442;ID:1;RSSI;-100
00:16.444;ID:1;RSSI short;-100
00:16.445;ID:1;RSSI long;-100
00:16.536;ID:1;RSSI;-100
00:16.537;ID:1;RSSI short;-100
00:16.539;ID:1;RSSI long;-101
00:16.630;ID:1;RSSI;-100
00:16.631;ID:1;RSSI short;-100
00:16.632;ID:1;RSSI long;-100
00:16.692;ID:1;Send;7
00:16.692;ID:1;Recieved;4
00:16.699;ID:1;Jamming detected by message shortage: changed to channel 19 ;
00:16.724;ID:1;RSSI;-100
00:16.725;ID:1;RSSI short;-100
00:16.726;ID:1;RSSI long;-100
00:16.821;ID:1;RSSI;-100
00:16.822;ID:1;RSSI short;-100
00:16.824;ID:1;RSSI long;-100
00:16.911;ID:1;RSSI;-100
00:16.912;ID:1;RSSI short;-100
00:16.914;ID:1;RSSI long;-100
00:17.005;ID:1;RSSI;-100
00:17.006;ID:1;RSSI short;-100
00:17.007;ID:1;RSSI long;-100
00:17.099;ID:1;RSSI;-100
00:17.100;ID:1;RSSI short;-100
00:17.101;ID:1;RSSI long;-100
00:17.192;ID:1;RSSI;-100
00:17.194;ID:1;RSSI short;-100
00:17.195;ID:1;RSSI long;-100
00:17.286;ID:1;RSSI;-100
00:17.287;ID:1;RSSI short;-100
00:17.289;ID:1;RSSI long;-100
00:17.380;ID:1;RSSI;-100
00:17.381;ID:1;RSSI short;-100
00:17.382;ID:1;RSSI long;-100
00:17.474;ID:1;RSSI;-100
00:17.475;ID:1;RSSI short;-100
00:17.476;ID:1;RSSI long;-100
00:17.567;ID:1;RSSI;-100
00:17.569;ID:1;RSSI short;-100
00:17.570;ID:1;RSSI long;-100
00:17.661;ID:1;RSSI;-100
00:17.662;ID:1;RSSI short;-100
00:17.664;ID:1;RSSI long;-100
00:17.755;ID:1;RSSI;-100
00:17.756;ID:1;RSSI short;-100
00:17.757;ID:1;RSSI long;-100
00:17.849;ID:1;RSSI;-100
00:17.850;ID:1;RSSI short;-100
00:17.851;ID:1;RSSI long;-100
00:17.942;ID:1;RSSI;-100
00:17.944;ID:1;RSSI short;-100
00:17.945;ID:1;RSSI long;-100
00:18.036;ID:1;RSSI;-100
00:18.037;ID:1;RSSI short;-100
00:18.039;ID:1;RSSI long;-100
00:18.130;ID:1;RSSI;-100
00:18.131;ID:1;RSSI short;-100
00:18.132;ID:1;RSSI long;-100
00:18.224;ID:1;RSSI;-100
00:18.225;ID:1;RSSI short;-100
00:18.226;ID:1;RSSI long;-100
00:18.317;ID:1;RSSI;-100
00:18.319;ID:1;RSSI short;-100
00:18.320;ID:1;RSSI long;-100
00:18.411;ID:1;RSSI;-100
00:18.412;ID:1;RSSI short;-100
00:18.414;ID:1;RSSI long;-100
00:18.505;ID:1;RSSI;-100
00:18.506;ID:1;RSSI short;-100
00:18.507;ID:1;RSSI long;-101
00:18.599;ID:1;RSSI;-100
00:18.600;ID:1;RSSI short;-100
00:18.601;ID:1;RSSI long;-100
00:18.692;ID:1;RSSI;-100
00:18.694;ID:1;RSSI short;-100
00:18.695;ID:1;RSSI long;-100
00:18.696;ID:1;Send;8
00:18.697;ID:1;Recieved;4
00:18.786;ID:1;RSSI;-100
00:18.788;ID:1;RSSI short;-100
00:18.789;ID:1;RSSI long;-100
00:18.883;ID:1;RSSI;-100
00:18.884;ID:1;RSSI short;-100
00:18.886;ID:1;RSSI long;-100
00:18.974;ID:1;RSSI;-100
00:18.975;ID:1;RSSI short;-100
00:18.976;ID:1;RSSI long;-100
00:19.067;ID:1;RSSI;-100
00:19.069;ID:1;RSSI short;-100
00:19.070;ID:1;RSSI long;-100
00:19.161;ID:1;RSSI;-100
00:19.162;ID:1;RSSI short;-100
00:19.164;ID:1;RSSI long;-100
00:19.255;ID:1;RSSI;-100
00:19.256;ID:1;RSSI short;-100
00:19.257;ID:1;RSSI long;-100
00:19.349;ID:1;RSSI;-100
00:19.350;ID:1;RSSI short;-100
00:19.351;ID:1;RSSI long;-100
00:19.442;ID:1;RSSI;-100
00:19.444;ID:1;RSSI short;-100
00:19.445;ID:1;RSSI long;-100
00:19.536;ID:1;RSSI;-100
00:19.537;ID:1;RSSI short;-100
00:19.539;ID:1;RSSI long;-100
00:19.630;ID:1;RSSI;-100
00:19.631;ID:1;RSSI short;-100
00:19.632;ID:1;RSSI long;-100
00:19.724;ID:1;RSSI;-100
00:19.725;ID:1;RSSI short;-100
00:19.726;ID:1;RSSI long;-100
00:19.817;ID:1;RSSI;-100
00:19.819;ID:1;RSSI short;-100
00:19.820;ID:1;RSSI long;-100
00:19.911;ID:1;RSSI;-100
00:19.912;ID:1;RSSI short;-100
00:19.914;ID:1;RSSI long;-100
00:20.005;ID:1;RSSI;-100
00:20.006;ID:1;RSSI short;-100
00:20.007;ID:1;RSSI long;-100
00:20.099;ID:1;RSSI;-100
00:20.100;ID:1;RSSI short;-100
00:20.101;ID:1;RSSI long;-100
00:20.192;ID:1;RSSI;-100
00:20.194;ID:1;RSSI short;-100
00:20.195;ID:1;RSSI long;-100
00:20.286;ID:1;RSSI;-100
00:20.287;ID:1;RSSI short;-100
00:20.289;ID:1;RSSI long;-100
00:20.380;ID:1;RSSI;-100
00:20.381;ID:1;RSSI short;-100
00:20.382;ID:1;RSSI long;-100
00:20.474;ID:1;RSSI;-100
00:20.475;ID:1;RSSI short;-100
00:20.476;ID:1;RSSI long;-101
00:20.567;ID:1;RSSI;-100
00:20.569;ID:1;RSSI short;-100
00:20.570;ID:1;RSSI long;-100
00:20.667;ID:1;RSSI;-100
00:20.669;ID:1;RSSI short;-100
00:20.670;ID:1;RSSI long;-100
00:20.692;ID:1;Send;9
00:20.692;ID:1;Recieved;4
00:20.759;ID:1;RSSI;-100
00:20.760;ID:1;RSSI short;-100
00:20.761;ID:1;RSSI long;-100
00:20.849;ID:1;RSSI;-100
00:20.850;ID:1;RSSI short;-100
00:20.851;ID:1;RSSI long;-100
00:20.942;ID:1;RSSI;-100
00:20.944;ID:1;RSSI short;-100
00:20.945;ID:1;RSSI long;-100
00:21.036;ID:1;RSSI;-100
00:21.037;ID:1;RSSI short;-100
00:21.039;ID:1;RSSI long;-100
00:21.130;ID:1;RSSI;-100
00:21.131;ID:1;RSSI short;-100
00:21.132;ID:1;RSSI long;-100
00:21.224;ID:1;RSSI;-100
00:21.225;ID:1;RSSI short;-100
00:21.226;ID:1;RSSI long;-100
00:21.317;ID:1;RSSI;-100
00:21.319;ID:1;RSSI short;-100
00:21.320;ID:1;RSSI long;-100
00:21.411;ID:1;RSSI;-100
00:21.412;ID:1;RSSI short;-100
00:21.414;ID:1;RSSI long;-100
00:21.505;ID:1;RSSI;-100
00:21.506;ID:1;RSSI short;-100
00:21.507;ID:1;RSSI long;-100
00:21.599;ID:1;RSSI;-100
00:21.600;ID:1;RSSI short;-100
00:21.601;ID:1;RSSI long;-100
00:21.692;ID:1;RSSI;-100
00:21.694;ID:1;RSSI short;-100
00:21.695;ID:1;RSSI long;-100
00:21.786;ID:1;RSSI;-100
00:21.787;ID:1;RSSI short;-100
00:21.789;ID:1;RSSI long;-100
00:21.880;ID:1;RSSI;-100
00:21.881;ID:1;RSSI short;-100
00:21.882;ID:1;RSSI long;-100
00:21.974;ID:1;RSSI;-100
00:21.975;ID:1;RSSI short;-100
00:21.976;ID:1;RSSI long;-100
00:22.067;ID:1;RSSI;-100
00:22.069;ID:1;RSSI short;-100
00:22.070;ID:1;RSSI long;-100
00:22.161;ID:1;RSSI;-100
00:22.162;ID:1;RSSI short;-100
00:22.164;ID:1;RSSI long;-100
00:22.255;ID:1;RSSI;-100
00:22.256;ID:1;RSSI short;-100
00:22.257;ID:1;RSSI long;-100
00:22.349;ID:1;RSSI;-100
00:22.350;ID:1;RSSI short;-100
00:22.351;ID:1;RSSI long;-100
00:22.442;ID:1;RSSI;-100
00:22.444;ID:1;RSSI short;-100
00:22.445;ID:1;RSSI long;-101
00:22.536;ID:1;RSSI;-100
00:22.537;ID:1;RSSI short;-100
00:22.539;ID:1;RSSI long;-100
00:22.630;ID:1;RSSI;-100
00:22.631;ID:1;RSSI short;-100
